"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-03-04","174 SYS","W1291328","Fluoride","","0.6920000000000001","MG/L","3250 Camino Del Rio North; Sample Stanchion"
"2019-03-05","284 SYS","W1292298","Chlorate","","192.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-03-05","284 SYS","W1292298","Chlorite","","358.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-03-05","67 SYS","W1292235","Fluoride","","0.513","MG/L","Pomerado Rd & Grandee Pl"
"2019-03-05","OT COMB FILTER","W1292294","pH","","7.47","PH","OT FP Filter Combined Filter Effluent"
"2019-03-05","OT COMB FILTER","W1292294","Total THMs","","3.61","UG/L","OT FP Filter Combined Filter Effluent"
"2019-03-05","OT FILTER 1-8","W1292292","pH","","7.64","PH","OT FP Filters 1-8"
"2019-03-05","OT FILTER 1-8","W1292292","Total THMs","","3.68","UG/L","OT FP Filters 1-8"
"2019-03-05","OT FILTER 9-16","W1292293","pH","","7.62","PH","OT FP Filters  9-16"
"2019-03-05","OT FILTER 9-16","W1292293","Total THMs","","3.54","UG/L","OT FP Filters  9-16"
"2019-03-05","OT SETTLED","W1292291","pH","","7.37","PH","OT FP Settled"
"2019-03-05","OT SETTLED","W1292291","Total THMs","ND","","UG/L","OT FP Settled"
"2019-03-06","119 SYS","W1292402","pH","","8.26","PH","Lower Otay Recreation"
"2019-03-06","215 SYS","W1292335","Fluoride","","0.613","MG/L","Across from 5105 Soledad Rd."
"2019-03-07","251 SYS","W1292407","Fluoride","","0.62","MG/L","5840 Ravenswood Rd."
"2019-03-07","300 SYS","W1292463","Chlorate","","204.5","UG/L","5368 Topsail Drive"
"2019-03-07","300 SYS","W1292463","Chlorite","","358.0","UG/L","5368 Topsail Drive"
"2019-03-08","171 SYS","W1292484","Fluoride","","0.487","MG/L","6541 Broadway"
"2019-03-09","208A SYS","W1291333","Fluoride","","0.574","MG/L","Across from 6236 Wenrich"
"2019-03-10","50A SYS","W1291348","Fluoride","","0.597","MG/L","2693 Melbourne Dr."
"2019-03-11","304 SYS","W1293253","Fluoride","","0.591","MG/L","14462 Garden Trail"
"2019-03-12","229 SYS","W1293395","Fluoride","","0.604","MG/L","Carmel Park Dr/Del Mar Glen @ Public School"
"2019-03-13","119 SYS","W1294338","pH","","8.33","PH","Lower Otay Recreation"
"2019-03-13","206 SYS","W1294343","Fluoride","","0.596","MG/L","1055 Catalina Blvd @ Fire Station Sample Stanchion"
"2019-03-14","277A SYS","W1294357","Fluoride","","0.5920000000000001","MG/L"," 12241 Camino Del Sur"
"2019-03-15","205 SYS","W1294415","Fluoride","","0.5539999999999999","MG/L","close to 1856 Manzana Way; Sample Stanchion"
"2019-03-16","155 SYS","W1291353","Fluoride","","0.552","MG/L","Adams & Marlborough"
"2019-03-17","242 SYS","W1291358","Fluoride","","0.5539999999999999","MG/L","7260 Barker Way"
"2019-03-18","249A SYS","W1294748","Fluoride","","0.593","MG/L","6429 Glidden St.; Sample Stanchion"
"2019-03-19","131 SYS","W1295010","Fluoride","","0.476","MG/L","E Park Ave/San Ysidro Blvd;Sample Stanchion"
"2019-03-19","284 SYS","W1295009","Chlorate","","210.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-03-19","284 SYS","W1295009","Chlorite","","414.5","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-03-20","119 SYS","W1295089","pH","","8.24","PH","Lower Otay Recreation"
"2019-03-20","49A SYS","W1295052","Fluoride","","0.584","MG/L","John J. Hopkins Dr. & General Atomic"
"2019-03-21","184 SYS","W1295120","Fluoride","","0.5870000000000001","MG/L","12170 Springhurst Dr."
"2019-03-21","204A SYS","W1295157","Chlorate","ND","","UG/L","2787 Alta View Drive"
"2019-03-21","204A SYS","W1295157","Chlorite","ND","","UG/L","2787 Alta View Drive"
"2019-03-21","300 SYS","W1295156","Chlorate","","233.0","UG/L","5368 Topsail Drive"
"2019-03-21","300 SYS","W1295156","Chlorite","","385.0","UG/L","5368 Topsail Drive"
"2019-03-22","78A SYS","W1295172","Fluoride","","0.55","MG/L","6200 Calle Mariselda"
"2019-03-23","281 SYS","W1291363","Fluoride","","0.556","MG/L","6831 Monte Verde Dr"
"2019-03-24","150 SYS","W1291368","Fluoride","","0.556","MG/L","Acorn St & 62nd St @ Fire Station"
"2019-03-25","259 SYS","W1295485","Fluoride","","0.5539999999999999","MG/L","3945 Alameda Dr; Sample Box"
"2019-03-26","138A SYS","W1295589","Fluoride","","0.556","MG/L","4202 N. Harbor Drive; Sample Stanchion"
"2019-03-26","OT SETTLED","W1295582","pH","","7.25","PH","OT FP Settled"
"2019-03-26","OT SETTLED","W1295582","Total THMs","ND","","UG/L","OT FP Settled"
"2019-03-27","119 SYS","W1295692","pH","","8.29","PH","Lower Otay Recreation"
"2019-03-27","218 SYS","W1295631","Fluoride","","0.578","MG/L","2110 Via Casa Alta @ Fire Station"
